n,p,K,allinformative,balanced,constrained,fit_constrained,timemean,timesd,arimean,arisd,avglogpropmean,avglogpropstd,avgmeanmean,avgmeanstd,avgcovmean,avgcovstd
128,16,2,True,True,True,True,0.007159900665283203,0.0006233547544293509,1.0,0.0,0.0,0.0,nan,nan,8.373304232978551,2.0145347040171258
128,16,2,True,True,True,False,0.009342098236083984,0.0005403800429173161,1.0,0.0,0.0,0.0,nan,nan,nan,nan
128,16,2,True,True,False,True,0.007084894180297852,0.002528014546547937,0.9269058671861334,0.11460973436178214,0.027529515853564897,0.04557480164344655,nan,nan,3.2425801825370533,0.1865781055368577
128,16,2,True,True,False,False,0.012800097465515137,0.0021815156317326377,1.0,0.0,0.0,0.0,nan,nan,nan,nan
128,16,2,True,False,True,True,0.008566045761108398,0.0009083965141220925,1.0,0.0,0.48126045492975783,0.7351374879014996,nan,nan,8.525066313491319,2.0499487101890224
128,16,2,True,False,True,False,0.011275553703308105,0.0007879708318192231,1.0,0.0,0.48126045492975783,0.7351374879014996,nan,nan,nan,nan
128,16,2,True,False,False,True,0.012399911880493164,0.002373407424206846,0.10680093009578602,0.13473446612945408,0.9402148414325,0.14654460465600985,nan,nan,3.367888995445123,0.24508658037679934
128,16,2,True,False,False,False,0.01717991828918457,0.0010759793642210517,0.9735150431093791,0.04861770854452187,0.3329167445999827,0.6358813387830254,nan,nan,nan,nan
128,16,2,False,True,True,True,0.00824582576751709,0.0010757487835216274,0.9906736404180378,0.01988045083035902,0.0013443007913086229,0.0036982652095260923,nan,nan,8.164255404057878,1.5171475938735701
128,16,2,False,True,True,False,0.013545560836791991,0.003876929970198987,0.9846694257400443,0.03677439440667138,0.0037846073906955165,0.007825450460042589,nan,nan,nan,nan
128,16,2,False,True,False,True,0.015244507789611816,0.006019827530470006,0.17823333046912468,0.20110981580419063,0.37369517753535375,0.19772648822957622,nan,nan,3.3601271942187196,0.12840205093321014
128,16,2,False,True,False,False,0.021008610725402832,0.007701582061031483,0.8992358381077306,0.30229248567680833,0.004978142507945918,0.014934427523837751,nan,nan,nan,nan
128,16,2,False,False,True,True,0.011800098419189452,0.006160579207175336,0.9499426598357855,0.10334284654785324,0.6846555217510966,0.755358896022047,nan,nan,8.350490633831386,1.513490555122082
128,16,2,False,False,True,False,0.02540009021759033,0.014692548210596335,0.5635957296407413,0.3914797399612781,0.8092111790490815,0.5688211689245516,nan,nan,nan,nan
