n,p,K,allinformative,balanced,constrained,fit_constrained,timemean,timesd,arimean,arisd,avglogpropmean,avglogpropstd,avgmeanmean,avgmeanstd,avgcovmean,avgcovstd
128,2,2,True,True,True,True,0.016925859451293945,0.02799759542940839,0.7601777601667471,0.36356368645339676,0.011268529635051427,0.019548847390318078,2.1857311133891866,0.6150211997747035,3.130357130300702,1.9543461537734719
128,2,2,True,True,True,False,0.016521239280700685,0.01331541770232676,0.8579353774071864,0.2334806101637913,0.025441817396090426,0.054819497533191784,2.1652947107394676,0.6433551484406983,nan,nan
128,2,2,True,True,False,True,0.010058832168579102,0.002612411427507054,0.382011478289737,0.4008925107156072,0.3183717850096417,0.2837864925980253,nan,nan,2.287435195197445,1.3006017275714057
128,2,2,True,True,False,False,0.015000104904174805,0.00395038758432789,0.8300100311466089,0.2601770753210197,0.057352300747476846,0.12422897952302936,nan,nan,nan,nan
128,2,2,True,False,True,True,0.011743831634521484,0.0077766484315662425,0.7758917158222196,0.35981125187976803,0.6262841175164395,0.6589182225187292,2.202149647852903,0.6008174633562937,3.2371217853344034,1.8753090750813173
128,2,2,True,False,True,False,0.014514279365539551,0.005823955954879776,0.7518475626377397,0.38401161099486497,0.5895177138837,0.6439859167755884,2.197764784088711,0.602224104561756,nan,nan
128,2,2,True,False,False,True,0.010235905647277832,0.002148549406737531,0.2890529172828511,0.38381236405646285,0.7947248370594163,0.3811399879702257,nan,nan,2.2233060988791826,1.2630279800086948
128,2,2,True,False,False,False,0.017200207710266112,0.005776156184685679,0.7927653139311607,0.38868920149523417,0.3262313662132066,0.525364447447694,2.1618201528495544,0.7142759987383303,nan,nan
128,2,2,False,True,True,True,0.009790849685668946,0.0010445739028427236,0.4018482156880088,0.36822964422651366,0.09982778778911353,0.12037858116887461,nan,nan,1.9286821994509964,0.5090110608684315
128,2,2,False,True,True,False,0.018915319442749025,0.014900703563987263,0.48670967499986,0.3685955319806343,0.0629055029566268,0.06638076542938617,nan,nan,nan,nan
128,2,2,False,True,False,True,0.012227010726928712,0.004829352271993599,0.1683173393979493,0.27444345171725276,0.4011545080936549,0.23986596314223238,nan,nan,1.9225149755067847,0.733757822729789
128,2,2,False,True,False,False,0.019331026077270507,0.00882659974540926,0.6581361673040499,0.3954446990696252,0.06611393424017106,0.1139834690895069,nan,nan,nan,nan
128,2,2,False,False,True,True,0.012645268440246582,0.005158619067342202,0.30248135781094765,0.38678800955631215,1.0159622201425313,0.33069550735987807,nan,nan,2.037357633347959,0.5127213735140912
128,2,2,False,False,True,False,0.018036246299743652,0.0063623669030836005,0.28263584760732935,0.33954740632011654,1.034927125447854,0.29159973284651997,nan,nan,nan,nan
128,2,2,False,False,False,True,0.009599399566650391,0.001562452483636303,0.07959708361488328,0.14596731934843565,1.023875333245767,0.46160012653895627,nan,nan,1.940831042538345,0.594107584535278
128,2,2,False,False,False,False,0.018049788475036622,0.00811498778158097,0.48727803615803617,0.38867385519173836,1.0404831395643699,0.7319562313715198,nan,nan,nan,nan
128,2,3,True,True,True,True,0.012798070907592773,0.008918665785544632,0.7981215536728633,0.18878024307950422,0.07460845172450042,0.09906325744546654,nan,nan,2.1267582709156594,1.1805114467545552
128,2,3,True,True,True,False,0.01686050891876221,0.008517570979484931,0.7896176835948131,0.19089990762974005,0.0678598961780115,0.08423256790910227,nan,nan,nan,nan
128,2,3,True,True,False,True,0.012306785583496094,0.00296205259544866,0.4681271772567396,0.28814989996817997,0.2741788110394161,0.15994147853165805,nan,nan,1.7891302707818528,0.6261022756817392
128,2,3,True,True,False,False,0.02987251281738281,0.013997774733265978,0.7848679045788278,0.24543091634645728,0.08615866022622064,0.10597897025756386,nan,nan,nan,nan
128,2,3,True,False,True,True,0.013800668716430663,0.004117792012607722,0.4678845765458662,0.3516974864875823,0.6021617939444528,0.4190665181173657,2.1740600420742764,0.6697097579565942,2.2845603875764167,1.2031806265498708
128,2,3,True,False,True,False,0.028058314323425294,0.016585225282629602,0.48938138049249436,0.3310313230998804,0.5428677264993719,0.37664686637785755,nan,nan,nan,nan
128,2,3,True,False,False,True,0.014947938919067382,0.0037580726209847657,0.2622285925341913,0.32942155695130076,0.6729472838807304,0.306230114601242,nan,nan,1.722916564610627,0.5965210222361461
128,2,3,True,False,False,False,0.035497212409973146,0.018168402151229487,0.5523572988188914,0.3259007545760202,0.5328356553570508,0.3795126756958572,nan,nan,nan,nan
128,2,3,False,True,True,True,0.010234737396240234,0.0022819623390714526,0.3836214643913889,0.2696647022173402,0.11115055954511906,0.0836601179235551,nan,nan,2.5486297998711125,1.4524296747636882
128,2,3,False,True,True,False,0.01840038299560547,0.004103012301372597,0.39278494683789045,0.2649113578179555,0.12056384045121482,0.08121601489799513,nan,nan,nan,nan
128,2,3,False,True,False,True,0.015152382850646972,0.00558976532467371,0.25602779824262156,0.13870808097891574,0.4200396761092451,0.17727843649463018,nan,nan,1.8413909396941706,0.66299827004732
128,2,3,False,True,False,False,0.03369803428649902,0.012939440983886635,0.6601508067898834,0.27417387813022953,0.2145967421221613,0.24583083812868564,nan,nan,nan,nan
128,2,3,False,False,True,True,0.012399673461914062,0.0026142886908613653,0.19626704460844893,0.10914486553877638,0.7725038161058427,0.14295674115250578,nan,nan,2.5283726055641034,1.4270733261373247
128,2,3,False,False,True,False,0.02213258743286133,0.006813505999831452,0.18100271256857767,0.11785395770258002,0.7942817632444663,0.16167188264330995,nan,nan,nan,nan
128,2,3,False,False,False,True,0.013599681854248046,0.0037194284199829133,0.077014308377616,0.15965522469315388,0.7871159459616643,0.14501789309959723,nan,nan,1.8478016510772342,0.7195873526348252
128,2,3,False,False,False,False,0.026299142837524415,0.007085556041309999,0.4378589271263686,0.3614184750403702,0.8482317162327077,0.36553465142868097,nan,nan,nan,nan
128,2,4,True,True,True,True,0.011400961875915527,0.0030056893654318846,0.7687268454877906,0.24274828097660778,0.06931845649490366,0.10475783988009377,nan,nan,2.0409335918946803,0.6562720395694813
128,2,4,True,True,True,False,0.016916656494140626,0.005137253271238355,0.7729943151447676,0.23144485200958526,0.058347792746291885,0.06179822925693257,nan,nan,nan,nan
128,2,4,True,True,False,True,0.01603257656097412,0.004619493650224876,0.4205611299151119,0.18660110762255447,0.28646140298133493,0.14542319152754077,nan,nan,1.844437032951078,0.41852210800554807
128,2,4,True,True,False,False,0.039595532417297366,0.014641520152856684,0.606535013037945,0.20802571360126998,0.22454163472281544,0.15798130542997743,nan,nan,nan,nan
128,2,4,True,False,True,True,0.013714361190795898,0.00503274563573039,0.4371890619714135,0.29808884876346775,0.5280283103957476,0.3104408258569312,1.930446140282011,0.49015543229726233,2.149743610807936,0.6890567734726877
128,2,4,True,False,True,False,0.02650914192199707,0.011967768390102959,0.412927076165513,0.31206258157081135,0.5714710911315881,0.33160453359726444,1.9138328787610785,0.5144731087046528,nan,nan
128,2,4,True,False,False,True,0.01151723861694336,0.002138262432654285,0.2518802840414942,0.2868264609379011,0.6625795747166923,0.16754245677311197,nan,nan,2.8512570813048033,1.8628503983212767
128,2,4,True,False,False,False,0.02768704891204834,0.011359529835982625,0.4490636661788794,0.33214037144237735,0.6356483162644658,0.17659464334206976,nan,nan,nan,nan
128,2,4,False,True,True,True,0.012904810905456542,0.0026131205223857306,0.34688753733946637,0.23867105289362778,0.16306346612894734,0.09558004341729172,nan,nan,2.439078551070137,1.2265535255370887
128,2,4,False,True,True,False,0.02803182601928711,0.02067534441582973,0.34365500459479525,0.23873347233912892,0.17468002394549353,0.09087502328403957,nan,nan,nan,nan
